excluded_pair_id,excluded_terms,spearman_rank_correlation,mean_absolute_change,direction_preserved_proportion,sign_change_count
G01,"laki-laki, perempuan",0.9716702038716317,0.1417767963507943,0.9722222222222222,2
G02,"pria, wanita",0.9887452569297063,0.09439516660270326,1.0,0
G03,"ayah, ibu",0.9715737346453149,0.13762975529514906,0.9444444444444444,4
G04,"suami, istri",0.9802881214225998,0.11131724406509694,0.9444444444444444,4
G05,"putra, putri",0.9830214161682426,0.1246722002187474,0.9305555555555556,5
G06,"pemuda, pemudi",0.9832786674384206,0.12009778634439311,0.9861111111111112,1
G07,"cowok, cewek",0.9756254421506207,0.13600632402708995,0.9444444444444444,4
G08,"jejaka, gadis",0.9824747572191138,0.10984912699950079,0.9583333333333334,3
