occupation_id,p_value,n_permutations,random_seed,adjusted_p_value,significant_raw,significant_fdr
101,0.0004997501249375312,2000,42,0.007196401799100449,True,True
102,0.1454272863568216,2000,43,0.2703263752739015,False,False
103,0.711144427786107,2000,44,0.7642149074716373,False,False
104,0.223888055972014,2000,45,0.3582208895552224,False,False
105,0.07846076961519241,2000,46,0.19310344827586207,False,False
106,0.05347326336831584,2000,47,0.1425953689821756,False,False
107,0.3308345827086457,2000,48,0.4712937648822647,False,False
108,0.9930034982508745,2000,49,0.9930034982508745,False,False
201,0.463768115942029,2000,50,0.5962732919254659,False,False
202,0.7706146926536732,2000,51,0.8159449686921246,False,False
203,0.12093953023488256,2000,52,0.24187906046976512,False,False
204,0.1839080459770115,2000,53,0.3079390537289495,False,False
205,0.3988005997001499,2000,54,0.530571078097315,False,False
206,0.09295352323838081,2000,55,0.20914542728635685,False,False
207,0.1519240379810095,2000,56,0.2734632683658171,False,False
208,0.02148925537231384,2000,57,0.0736774469907903,True,False
301,0.0004997501249375312,2000,58,0.007196401799100449,True,True
302,0.12643678160919541,2000,59,0.2460391425908668,False,False
303,0.10944527736131934,2000,60,0.2313129149710859,False,False
304,0.047976011994003,2000,61,0.13285664859877752,True,False
305,0.01899050474762619,2000,62,0.06836581709145427,True,False
306,0.5212393803098451,2000,63,0.6360887352933703,False,False
307,0.00399800099950025,2000,64,0.028785607196401795,True,True
308,0.05647176411794103,2000,65,0.14521310773184837,False,False
401,0.00849575212393803,2000,66,0.040779610194902546,True,True
402,0.0239880059970015,2000,67,0.07850620144473217,True,False
403,0.17341329335332334,2000,68,0.30453066149851904,False,False
404,0.4052973513243378,2000,69,0.530571078097315,False,False
405,0.14642678660669664,2000,70,0.2703263752739015,False,False
406,0.0029985007496251873,2000,71,0.026986506746626688,True,True
407,0.21239380309845077,2000,72,0.34755349597928303,False,False
408,0.005497251374312844,2000,73,0.03298350824587706,True,True
501,0.0069965017491254375,2000,74,0.03874985584131012,True,True
502,0.0024987506246876563,2000,75,0.026986506746626688,True,True
503,0.8705647176411794,2000,76,0.8828261925375339,False,False
504,0.11244377811094453,2000,77,0.2313129149710859,False,False
505,0.18340829585207397,2000,78,0.3079390537289495,False,False
506,0.8375812093953023,2000,79,0.8739977837168372,False,False
507,0.09045477261369315,2000,80,0.20914542728635685,False,False
508,0.0004997501249375312,2000,81,0.007196401799100449,True,True
601,0.014492753623188406,2000,82,0.05491990846681922,True,False
602,0.6861569215392304,2000,83,0.7485348234973422,False,False
603,0.0034982508745627187,2000,84,0.02798600699650175,True,True
604,0.0029985007496251873,2000,85,0.026986506746626688,True,True
605,0.08045977011494253,2000,86,0.19310344827586207,False,False
606,0.33383308345827084,2000,87,0.4712937648822647,False,False
607,0.10094952523738131,2000,88,0.22025350960883194,False,False
608,0.01249375312343828,2000,89,0.05491990846681922,True,False
701,0.5722138930534733,2000,90,0.6645064564491947,False,False
702,0.6506746626686657,2000,91,0.7207473186483682,False,False
703,0.27386306846576713,2000,92,0.41953491339436666,False,False
704,0.2448775612193903,2000,93,0.38328661756078486,False,False
705,0.3173413293353323,2000,94,0.4712937648822647,False,False
706,0.5102448775612194,2000,95,0.6334074342139275,False,False
707,0.6351824087956022,2000,96,0.7145802098950524,False,False
708,0.013993003498250875,2000,97,0.05491990846681922,True,False
801,0.863568215892054,2000,98,0.8828261925375339,False,False
802,0.33233383308345826,2000,99,0.4712937648822647,False,False
803,0.04297851074462768,2000,100,0.12377811094452773,True,False
804,0.026486756621689155,2000,101,0.08291506420702693,True,False
805,0.014492753623188406,2000,102,0.05491990846681922,True,False
806,0.00849575212393803,2000,103,0.040779610194902546,True,True
807,0.5612193903048476,2000,104,0.6645064564491947,False,False
808,0.5702148925537232,2000,105,0.6645064564491947,False,False
901,0.005497251374312844,2000,106,0.03298350824587706,True,True
902,0.5082458770614693,2000,107,0.6334074342139275,False,False
903,0.03948025987006497,2000,108,0.1184407796101949,True,False
904,0.0004997501249375312,2000,109,0.007196401799100449,True,True
905,0.0004997501249375312,2000,110,0.007196401799100449,True,True
906,0.5837081459270365,2000,111,0.6670950239166131,False,False
907,0.40379810094952523,2000,112,0.530571078097315,False,False
908,0.36681659170414793,2000,113,0.5078998962057433,False,False
