major_group_name,occupation_count,mean_effect_size,median_effect_size,std_effect_size,minimum_effect_size,maximum_effect_size,positive_proportion,negative_proportion,significant_fdr_count
Manajer,8,-0.29974591723873834,-0.2447642847913486,0.837585935939244,-1.6480019755652497,0.7525009247553367,0.5,0.5,1
Profesional,8,-0.17435613399638203,-0.41346374998174307,0.712614782919236,-0.8332408509097108,1.0858770672977753,0.25,0.75,0
Teknisi dan asisten profesional,8,-0.6556851170908048,-0.8777573912447956,0.8436383327901578,-1.5410908603112574,1.2583919343999383,0.125,0.875,2
Tenaga tata usaha,8,-0.7658977535823117,-0.9028928540953363,0.670275088829894,-1.35769846305974,0.6745836644378097,0.125,0.875,3
Tenaga usaha jasa dan penjualan,8,0.22571235984555915,0.36229488521441494,1.008569407674239,-1.5326375851538212,1.292875739424004,0.5,0.5,3
Pekerja terampil pertanian dan perikanan,8,-0.3014888700359596,-0.5224538003180765,1.0180248154052076,-1.3846340988243486,1.136677716025029,0.375,0.625,2
Pekerja pengolahan dan kerajinan,8,-0.43451212859789545,-0.4282658688881057,0.39355874725857815,-1.1597018544953233,0.2358370917541696,0.125,0.875,0
Operator dan perakit mesin,8,-0.021523172270308713,0.19039547868244108,0.882127881076892,-1.2557896150098844,1.0505934373861907,0.625,0.375,1
Pekerjaan elementer,8,0.254986682663751,0.34967773613832137,1.0545644792462612,-1.6470915077480717,1.5316429544695516,0.625,0.375,3
