occupation_id,p_value,exact_partition_count,test_sidedness,adjusted_p_value,significant_raw,significant_fdr
101,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
102,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
103,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
104,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
105,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
106,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
107,0.07832167832167833,12870,two-sided,0.08172696868349043,False,False
108,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
201,0.7387723387723387,12870,two-sided,0.7387723387723387,False,False
202,0.0006216006216006216,12870,two-sided,0.0007104007104007104,True,True
203,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
204,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
205,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
206,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
207,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
208,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
301,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
302,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
303,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
304,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
305,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
306,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
307,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
308,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
401,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
402,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
403,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
404,0.13597513597513597,12870,two-sided,0.13986013986013984,False,False
405,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
406,0.026573426573426574,12870,two-sided,0.028136569313039903,True,True
407,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
408,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
501,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
502,0.0037296037296037296,12870,two-sided,0.004131253362022593,True,True
503,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
504,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
505,0.0003108003108003108,12870,two-sided,0.00036684626848561275,True,True
506,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
507,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
508,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
601,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
602,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
603,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
604,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
605,0.019425019425019424,12870,two-sided,0.020874647740319382,True,True
606,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
607,0.5728049728049728,12870,two-sided,0.5808726484782822,False,False
608,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
701,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
702,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
703,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
704,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
705,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
706,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
707,0.0006216006216006216,12870,two-sided,0.0007104007104007104,True,True
708,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
801,0.0012432012432012432,12870,two-sided,0.0013986013986013986,True,True
802,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
803,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
804,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
805,0.008547008547008548,12870,two-sided,0.009324009324009326,True,True
806,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
807,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
808,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
901,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
902,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
903,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
904,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
905,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
906,0.0003108003108003108,12870,two-sided,0.00036684626848561275,True,True
907,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
908,0.0001554001554001554,12870,two-sided,0.0001896408676069693,True,True
